Nome do Jogo,Nota Pessoal,Nota Técnica,História,Gameplay,Direção de Arte,Técnico,Tempo de Jogo (hora),Zerado,Platinado,Dropado,Genêros,Plataforma,cria,Criado em,Última edição
Bloodborne,92,82.4,70,100,90,60,70,Yes,Yes,No,Soulslike,PS5,pedro,"May 14, 2024 8:43 AM",pedro
Summer Memories,100,100,100,100,100,100,20,Yes,No,No,Hentai,PC,John,"May 14, 2024 8:21 AM",John
Final Fantasy VII Remake,88,87.6,75,85,90,100,135,Yes,Yes,No,JRPG,PS5,pedro,"May 14, 2024 8:17 AM",pedro
Dragon’s Dogma 2,70,58,30,60,80,50,,No,No,Yes,RPG,PC,pedro,"May 14, 2024 8:11 AM",pedro
Halo 4,55,60.8,20,79,70,80,30,Yes,No,No,FPS,Xbox,John,"May 14, 2024 8:06 AM",John
Resident Evil 5,86,85.2,60,100,80,100,,Yes,No,No,,,Enzo Vanzela,"May 14, 2024 7:50 AM",Enzo Vanzela
Assassin's Creed Syndicate,45,51,60,40,50,60,30,No,No,No,"Aventura, Ação, Mundo Aberto",Xbox,John,"May 14, 2024 6:46 AM",John
Assassin's Creed Unity,20,28,30,40,50,0,10,No,No,No,"Aventura, Ação, Mundo Aberto",Xbox,John,"May 14, 2024 6:44 AM",John
Assassin's Creed Odyssey,50,55,50,60,60,55,50,No,No,No,"Aventura, Ação, Mundo Aberto, RPG",,John,"May 14, 2024 6:39 AM",John
Assassin's Creed Valhalla,30,40,50,40,80,0,20,No,No,No,"Aventura, Ação, Mundo Aberto, RPG",PC,John,"May 14, 2024 6:37 AM",John
Assassin's Creed Origins,83,83.2,83,83,85,82,100,Yes,No,No,"Aventura, Ação, Mundo Aberto, RPG",Xbox,John,"May 14, 2024 6:33 AM",John
The Witcher 3 Wild Hunt,100,100,100,100,100,100,300,Yes,No,No,"Mundo Aberto, RPG",PC,John,"May 14, 2024 6:29 AM",John
Assassin’s Creed IV Black Flag,100,100,100,100,100,100,80,Yes,No,No,"Aventura, Ação, Mundo Aberto",Xbox,John,"May 14, 2024 6:05 AM",John
Resident Evil 8,89,89.2,85,87,95,90,19,Yes,No,No,"Ação, FPS, Survival Horror",PC,John,"May 14, 2024 6:02 AM",John
"Resident Evil 7 ",92,93.4,92,93,90,100,18,Yes,No,No,"FPS, Survival Horror",PC,John,"May 14, 2024 5:58 AM",John
Resident Evil 2 Remake,100,100,100,100,100,100,8,Yes,No,No,Survival Horror,PC,John,"May 14, 2024 5:56 AM",John
Resident Evil 1,85,87,100,80,90,80,10,No,No,No,Survival Horror,,John,"May 14, 2024 5:53 AM",John
Resident Evil 6,10,8,0,10,10,10,30,Yes,No,No,Ação,Xbox,John,"May 14, 2024 5:46 AM",John
Resident Evil 5,40,43,20,40,40,75,30,Yes,No,No,Ação,Xbox,John,"May 14, 2024 5:40 AM",John
Dragon's Dogma,0,20,0,0,0,100,,No,No,Yes,,PC,Thomas Lincoln,"May 13, 2024 10:35 PM",Thomas Lincoln
Halo 4,47,55.4,40,60,60,70,20,Yes,No,No,FPS,PC,pedro,"May 13, 2024 10:24 PM",pedro
Resident Evil 4 (2023),90,92,80,100,90,100,130,Yes,Yes,No,Sobrevivência,PC,pedro,"May 13, 2024 10:20 PM",pedro
Red Dead Redemption 2,100,100,100,100,100,100,200,Yes,No,No,"Aventura, Ação, Mundo Aberto",Xbox,John,"May 13, 2024 9:57 PM",John
Baldur’s Gate 3,100,100,100,100,100,100,200,Yes,No,No,RPG,PC,John,"May 13, 2024 9:55 PM",caio
God of War 4,80,83,90,75,80,90,100,Yes,No,No,"Aventura, Ação",PC,John,"May 13, 2024 9:51 PM",caio
Sonic Surfers,80,80,50,100,80,90,,Yes,No,No,,,Enzo Vanzela,"May 13, 2024 8:53 PM",Enzo Vanzela
Grand Theft Auto V,81,81.2,75,70,80,100,,Yes,No,No,,,Enzo Vanzela,"May 13, 2024 8:47 PM",Enzo Vanzela
Cuphead,100,100,100,100,100,100,50,Yes,No,No,Plataforma,Xbox,John,"May 13, 2024 8:34 PM",John
Yakuza 0,95,93,100,100,70,100,,Yes,No,No,,,Thomas Lincoln,"May 13, 2024 8:31 PM",Thomas Lincoln
Cyberpunk 2077,100,100,100,100,100,100,62,Yes,No,No,"Ação, Cyberpunk, RPG",PC,caio,"May 13, 2024 8:31 PM",caio
Grand Theft Auto V,100,100,100,100,100,100,1000,Yes,No,No,"Aventura, Ação, Mundo Aberto",PC,John,"May 13, 2024 8:30 PM",John
Metro 2033 Redux,100,98,100,90,100,100,35,Yes,Yes,No,"FPS, Stealth, Survival Horror, Tiro em Primeira Pessoa",,Thomas Lincoln,"May 13, 2024 8:24 PM",Thomas Lincoln
Baldur’s Gate 3,95,95,95,100,100,85,,No,No,No,,,Ni NVS,"May 13, 2024 8:24 PM",caio
Batman: Arkham Asylum,90,88,95,75,100,80,31,Yes,No,No,"Aventura, Ação, Beat 'em up, Stealth",PC,Thomas Lincoln,"May 13, 2024 8:22 PM",Thomas Lincoln
Half Life,80,80,75,90,65,90,16,Yes,No,No,,PC,Thomas Lincoln,"May 13, 2024 8:20 PM",Thomas Lincoln
Starfield,25,25,20,10,60,10,,No,No,No,,,Ni NVS,"May 13, 2024 8:19 PM",Ni NVS
Resident Evil 5,75,74,55,100,40,100,,Yes,No,No,,PC,Thomas Lincoln,"May 13, 2024 8:18 PM",Thomas Lincoln
Dark Souls III,90,93,85,100,90,100,,No,No,No,,,Ni NVS,"May 13, 2024 8:17 PM",Ni NVS
Starfield,35,35,20,30,60,30,35,No,No,Yes,"FPS, RPG",,pedro,"May 13, 2024 8:16 PM",pedro
Cyberpunk 2077,50,54,90,50,80,0,86,Yes,No,No,"Cyberpunk, FPS, RPG",PC,John,"May 13, 2024 8:14 PM",John
Dark Souls II,30,34,20,30,50,40,,Yes,No,No,,Xbox 360,Ni NVS,"May 13, 2024 8:13 PM",Ni NVS
Stellar Blade,82,83.4,70,90,85,90,51,Yes,Yes,No,"Hack and Slash, Soulslike",PS5,pedro,"May 13, 2024 8:13 PM",pedro
A Short Hike,70,82,100,40,100,100,1,Yes,No,No,,PC,Thomas Lincoln,"May 13, 2024 8:10 PM",Thomas Lincoln
Assassin's Creed Odyssey,40,52,20,65,65,70,,No,Yes,No,,PC,Ni NVS,"May 13, 2024 8:09 PM",Ni NVS
Dante’s Inferno,95,95,80,100,100,100,,Yes,No,No,,Xbox 360,Thomas Lincoln,"May 13, 2024 8:08 PM",Thomas Lincoln
Femboy Aim Trainer,100,100,100,100,100,100,3,No,No,No,"FPS, Hentai",PC,John,"May 13, 2024 8:06 PM",John
Florence,65,81,70,70,100,100,,Yes,No,No,,PC,Thomas Lincoln,"May 13, 2024 8:06 PM",Thomas Lincoln
Final Fantasy XIV,90,90,100,80,100,80,2588,No,No,No,"JRPG, MMO",PC,Sergio Amaral,"May 13, 2024 8:06 PM",Sergio Amaral
Grand Theft Auto V,70,70,70,70,60,80,,No,No,No,,Xbox 360,Ni NVS,"May 13, 2024 8:05 PM",Ni NVS
Before Your Eyes,95,92,100,100,100,65,,Yes,No,No,,PC,Thomas Lincoln,"May 13, 2024 8:04 PM",Thomas Lincoln
Minecraft,71,71.2,50,75,70,90,,No,No,No,,,Enzo Vanzela,"May 13, 2024 5:38 PM",Enzo Vanzela
Assassin’s Creed Origins,90,90,70,100,100,90,,No,No,No,,,Enzo Vanzela,"May 13, 2024 5:59 PM",Enzo Vanzela
Assassin’s Creed Syndicate,80,80,70,80,80,90,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:03 PM",Enzo Vanzela
Assassin’s Creed Valhalla,40,40,60,60,40,0,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:05 PM",Enzo Vanzela
Bioshock,95,95,100,80,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:08 PM",caio
Bioshock 2,80,80,70,70,80,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:09 PM",caio
Bioshock Infinite,97,97.4,100,90,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:10 PM",caio
Cyberpunk 2077,100,100,100,100,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:11 PM",Thomas Lincoln
Final Fantasy 7 Remake,92,92.4,70,100,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:15 PM",Enzo Vanzela
Bloodborne,85,85,80,80,100,80,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:16 PM",Enzo Vanzela
Remnant From The Ashes,65,65,50,80,70,60,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:17 PM",Enzo Vanzela
The Last of Us Part I,97,97.4,90,100,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:18 PM",caio
The Last of Us Part II,87,87.4,50,100,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:19 PM",caio
Uncharted: Drake’s Fortune,78,78.6,75,70,70,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:20 PM",Enzo Vanzela
Uncharted 2: Among Thieves,83,83.6,80,75,80,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:22 PM",Enzo Vanzela
Uncharted 3: Drake’s Deception,85,85,70,70,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:26 PM",Enzo Vanzela
Uncharted 4: A Thief’s End,91,91.2,90,75,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:27 PM",Enzo Vanzela
Destiny 1,95,95,100,80,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:29 PM",Enzo Vanzela
Destiny 2,95,95,90,90,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:30 PM",Enzo Vanzela
God of War,87,87.4,80,90,80,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:33 PM",Enzo Vanzela
God of War II,92,92.4,85,95,90,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:34 PM",Enzo Vanzela
God of War III,97,97.4,90,100,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:37 PM",Enzo Vanzela
God of War 4,100,100,100,100,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:38 PM",Enzo Vanzela
God of War Ragnarök,100,100,100,100,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:38 PM",Enzo Vanzela
Devil May Cry,72,72.4,60,80,80,70,,No,Yes,No,,,Enzo Vanzela,"May 13, 2024 6:41 PM",Enzo Vanzela
Hades,90,94,80,100,100,100,,Yes,No,No,"Hack and Slash, Rogue Like",PC,Thomas Lincoln,"May 13, 2024 6:42 PM",Thomas Lincoln
Devil May Cry 2,67,67.4,50,60,60,100,,No,Yes,No,,,Enzo Vanzela,"May 13, 2024 6:43 PM",Enzo Vanzela
Devil May Cry 3,95,95,90,100,90,100,,No,Yes,No,,,Enzo Vanzela,"May 13, 2024 6:44 PM",Enzo Vanzela
Devil May Cry 5,90,90,80,100,80,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:45 PM",Enzo Vanzela
Hollow Knight,95,92,65,100,100,100,,Yes,No,No,"Metroidvania, Plataforma, Soulslike",PC,Thomas Lincoln,"May 13, 2024 6:47 PM",Thomas Lincoln
Detroit Become Human,72,72.4,60,50,80,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:48 PM",Enzo Vanzela
Hades,90,90,70,90,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:49 PM",Enzo Vanzela
Undertale,65,78,75,60,90,100,,Yes,No,No,RPG,PC,Thomas Lincoln,"May 13, 2024 6:51 PM",Thomas Lincoln
Hollow Knight,82,82.4,70,60,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:51 PM",Enzo Vanzela
Undertale,73,73.6,65,60,70,100,,No,Yes,No,,,Enzo Vanzela,"May 13, 2024 6:52 PM",Enzo Vanzela
StarFox 3D,92,92.4,70,100,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:54 PM",Enzo Vanzela
Donkey Kong 64,70,70,50,60,70,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:55 PM",Enzo Vanzela
StarFox 64,77,77.4,50,90,70,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:56 PM",Enzo Vanzela
Donkey Kong Country Returns,83,83.6,60,75,100,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:58 PM",Enzo Vanzela
Elden Ring,80,80,30,90,100,100,78,Yes,No,No,"Mundo Aberto, RPG, Soulslike",Xbox,Thomas Lincoln,"May 13, 2024 6:59 PM",Thomas Lincoln
Wii Sports,83,66.6,0,80,70,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 6:59 PM",Enzo Vanzela
Wii Sports Resort,86,69.2,0,80,80,100,,No,No,No,,,Enzo Vanzela,"May 13, 2024 7:00 PM",Enzo Vanzela
Stray,75,77,80,30,100,100,,Yes,No,No,"Aventura, Cyberpunk",PC,Thomas Lincoln,"May 13, 2024 7:10 PM",Thomas Lincoln
Grand Theft Auto V,65,67,40,70,60,100,,Yes,No,No,"Ação, Mundo Aberto",PC,Thomas Lincoln,"May 13, 2024 7:12 PM",Thomas Lincoln
DARK SOULS III,90,94,80,100,100,100,90,Yes,No,No,"Ação, RPG, Soulslike",PC,Thomas Lincoln,"May 13, 2024 7:15 PM",Thomas Lincoln
Minecraft,65,49,0,70,50,60,,No,No,No,"Exploração, Sandbox, Sobrevivência",PC,Thomas Lincoln,"May 13, 2024 7:17 PM",Thomas Lincoln
NieR Replicant™ ver.1.22474487139...,80,88,90,70,100,100,50,Yes,No,No,"Ação, RPG",PC,Thomas Lincoln,"May 13, 2024 7:19 PM",Thomas Lincoln
Final Fantasy VII Rebirth,100,100,100,100,100,100,311,No,No,No,"JRPG, Mundo Aberto",PS5,pedro,"May 13, 2024 7:22 PM",pedro
Grand Theft Auto V,100,100,100,100,100,100,320,Yes,Yes,No,"Ação, Mundo Aberto",PC,caio,"May 13, 2024 7:28 PM",caio
NieR Replicant™ ver.1.22474487139...,100,100,100,100,100,100,84,No,No,No,JRPG,PC,pedro,"May 13, 2024 7:30 PM",pedro
Stardew Valley,90,92,90,80,100,100,,Yes,No,No,,PC,Thomas Lincoln,"May 13, 2024 7:33 PM",Thomas Lincoln
Resident Evil (2005),85,80,80,70,95,70,14,Yes,Yes,No,"Aventura, Ação, Survival Horror, Tiro em Terceira Pessoa",PC,Thomas Lincoln,"May 13, 2024 7:34 PM",Thomas Lincoln
Devil May Cry 5,100,100,100,100,100,100,,Yes,No,No,,Xbox,Thomas Lincoln,"May 13, 2024 7:41 PM",Thomas Lincoln
Bioshock Infinite,100,100,100,100,100,100,,Yes,No,No,,Xbox 360,Thomas Lincoln,"May 13, 2024 7:42 PM",Thomas Lincoln
It Takes Two,100,100,100,100,100,100,,Yes,Yes,No,,Xbox,Thomas Lincoln,"May 13, 2024 7:45 PM",Thomas Lincoln
Dark Souls: Remastered,80,77,50,75,100,80,,Yes,No,No,,PC,Thomas Lincoln,"May 13, 2024 7:46 PM",Thomas Lincoln
Mavel’s Guardians of Galaxy,75,82,70,65,100,100,,Yes,No,No,,Xbox,Thomas Lincoln,"May 13, 2024 7:48 PM",Thomas Lincoln
Cult of the Lamb,70,74,50,70,80,100,,Yes,No,No,,PC,Thomas Lincoln,"May 13, 2024 7:50 PM",Thomas Lincoln
Grand Theft Auto IV,60,61,80,65,60,40,30,Yes,No,No,,PC,Thomas Lincoln,"May 13, 2024 7:51 PM",Thomas Lincoln
Assassin’s Creed Origins,90,90,80,80,100,100,,Yes,No,No,,Xbox,Thomas Lincoln,"May 13, 2024 7:52 PM",Thomas Lincoln
NieR Replicant™ ver.1.22474487139...,90,93,100,80,95,100,45,No,No,No,JRPG,Xbox,Sergio Amaral,"May 13, 2024 7:52 PM",Sergio Amaral
South Park: The Stick of Truth,90,88,100,80,70,100,,Yes,No,No,,PC,Thomas Lincoln,"May 13, 2024 7:54 PM",Thomas Lincoln
South Park: The Fractured But Whole,95,97,100,90,100,100,,Yes,No,No,,PC,Thomas Lincoln,"May 13, 2024 7:56 PM",Thomas Lincoln
DARK SOULS III,92,92.4,80,100,90,100,568,No,No,No,Soulslike,PC,Sergio Amaral,"May 13, 2024 7:56 PM",Sergio Amaral
Atomic Heart,90,88,80,70,100,100,,Yes,No,No,,Xbox,Thomas Lincoln,"May 13, 2024 7:57 PM",Thomas Lincoln
Pokémon Ruby,65,51,20,20,50,100,,Yes,No,No,,Android,Thomas Lincoln,"May 13, 2024 7:58 PM",Thomas Lincoln
Dark Souls: Remastered,70,78,70,70,100,80,258,No,No,No,Soulslike,PC,Sergio Amaral,"May 13, 2024 7:58 PM",Sergio Amaral
Hellblade: Senua’s Sacrifice,95,91,100,60,100,100,,Yes,No,No,,,Thomas Lincoln,"May 13, 2024 7:59 PM",Thomas Lincoln
A Way Out,100,100,100,100,100,100,,Yes,No,No,,Xbox,Thomas Lincoln,"May 13, 2024 8:01 PM",Thomas Lincoln
Final Fantasy 7 Remake,70,68,70,50,80,70,,No,No,No,JRPG,PC,Sergio Amaral,"May 13, 2024 8:02 PM",Sergio Amaral
Baldur’s Gate 3,100,96,95,100,100,85,400,Yes,Yes,No,RPG,PC,Marcelo Lacerda,"May 14, 2024 9:06 PM",caio
Grand Theft Auto V,80,88,100,80,90,90,,No,No,No,,,Marcelo Lacerda,"May 14, 2024 9:09 PM",Marcelo Lacerda
Grand Theft Auto V,85,86,100,75,90,80,150,Yes,No,No,"Ação, Mundo Aberto",PC,Marcelo Lacerda,"May 14, 2024 9:12 PM",Marcelo Lacerda
"Hollow Knight ",95,95,90,90,100,100,200,Yes,No,No,Metroidvania,PC,Marcelo Lacerda,"May 14, 2024 9:14 PM",Marcelo Lacerda
Bioshock,100,99,100,95,100,100,23,Yes,No,No,"Aventura, Ação, FPS, RPG, Survival Horror, Tiro em Primeira Pessoa",PC,Thomas Lincoln,"May 15, 2024 3:42 PM",Thomas Lincoln
Knigths of Pen and Paper 2,80,87,80,75,100,100,27,Yes,No,No,"Aventura, Estratégia, Indie, RPG, Simulação",PC,Thomas Lincoln,"May 15, 2024 4:01 PM",Thomas Lincoln